;t_id;h_id
1584;5673;56
1585;5675;338
1586;5676;338
1587;5689;56
1588;5689;338
1589;5693;338
1590;5696;56
1591;5696;338
1592;5703;122
1593;5703;288
1594;5703;56
1595;5705;288
1596;5706;56
1597;5706;288
1598;5707;122
1599;5707;288
1600;5710;16
1601;5716;56
1602;5716;122
1603;5716;16
1604;5718;279
1605;5719;16
1606;5725;109
1607;5726;288
1608;5728;16
1609;5729;283
1610;5729;347
1611;5729;295
1612;5735;208
1613;5741;163
1614;5749;288
1615;5749;122
1616;5756;288
1617;5756;122
1618;5757;16
1619;5758;122
1620;5758;288
1621;5760;288
1622;5761;288
1623;5761;56
1624;5763;203
1625;5766;56
1626;5766;122
1627;5768;122
1628;5768;288
1629;5786;239
1630;5786;288
1631;5787;239
1632;5788;274
1633;5790;239
1634;5796;23
1635;5796;56
1636;5796;239
1637;5796;288
1638;5799;3
1639;5799;263
1640;5799;245
1641;5800;56
1642;5800;288
1643;5800;122
1644;5802;288
1645;5803;288
1646;5803;122
1647;5807;34
1648;5807;148
1649;5807;136
1650;5807;96
1651;5808;197
1652;5808;122
1653;5808;152
1654;5814;23
1655;5815;122
1656;5816;239
1657;5816;288
1658;5817;288
1659;5817;56
1660;5818;288
1661;5821;349
1662;5823;386
1663;5830;288
1664;5833;56
1665;5833;122
1666;5842;288
1667;5842;23
1668;5846;288
1669;5846;276
1670;5847;288
1671;5849;316
1672;5855;288
1673;5857;288
1674;5860;122
1675;5860;288
1676;5861;122
1677;5861;288
1678;5868;61
1679;5868;219
1680;5868;191
1681;5868;188
1682;5869;61
1683;5869;47
1684;5871;282
1685;5872;188
1686;5872;153
1687;5873;122
1688;5873;23
1689;5874;350
1690;5877;288
1691;5881;239
1692;5881;56
1693;5881;122
1694;5881;288
1695;5883;288
1696;5884;288
1697;5885;288
1698;5892;122
1699;5892;288
1700;5893;23
1701;5896;239
1702;5896;288
1703;5898;239
1704;5898;288
1705;5898;367
1706;5899;288
1707;5903;122
1708;5903;288
1709;5908;288
1710;5908;122
1711;5908;265
1712;5915;288
1713;5916;122
1714;5916;288
1715;5919;387
1716;5922;70
1717;5922;301
1718;5926;288
1719;5927;288
1720;5928;288
1721;5929;4
1722;5933;288
1723;5943;122
1724;5943;288
1725;5957;115
1726;5959;16
1727;5962;288
1728;5965;23
1729;5970;288
1730;5974;347
1731;5974;288
1732;5975;23
1733;5976;23
1734;5976;274
1735;5978;23
1736;5979;23
1737;5979;122
1738;5979;288
1739;5982;23
1740;5982;288
1741;5982;56
1742;5982;239
1743;5982;376
1744;5987;160
1745;5988;160
1746;5989;288
1747;5990;56
1748;5990;239
1749;5993;288
1750;5996;387
1751;6002;288
1752;6004;122
1753;6004;288
1754;6007;122
1755;6007;288
1756;6010;51
1757;6011;123
